Christopher, Arthur
Christopher, Victoria
Andrew, James
Andrew, Jennifer
James, Colin
James, Charlotte
Roberto, Emilio
Roberto, Lucia
Pierro, Marco
Pierro, Angela
Marco, Alfonso
Marco, Sophia

Penelope, Arthur
Penelope, Victoria
Christine, James
Christine, Jennifer
Victoria, Colin
Victoria, Charlotte
Maria, Emilio
Maria, Lucia
Francesca, Marco
Francesca, Angela
Lucia, Alfonso
Lucia, Sophia

Christopher, Penelope
Andrew, Christine
Arthur, Margaret
James, Victoria
Charles, Jennifer
Roberto, Maria
Pierro, Francesca
Emilio, Gina
Marco, Lucia
Tomaso, Angela

Penelope, Christopher
Christine, Andrew
Margaret, Arthur
Victoria, James
Jennifer, Charles
Maria, Roberto
Francesca, Pierro
Gina, Emilio
Lucia, Marco
Angela, Tomaso

Arthur, Christopher
Arthur, Penelope
James, Andrew
James, Christine
Colin, Victoria
Colin, James
Emilio, Roberto
Emilio, Maria
Marco, Pierro
Marco, Francesca
Alfonso, Lucia
Alfonso, Marco

Victoria, Christopher
Victoria, Penelope
Jennifer, Andrew
Jennifer, Christine
Charlotte, Victoria
Charlotte, James
Lucia, Roberto
Lucia, Maria
Angela, Pierro
Angela, Francesca
Sophia, Lucia
Sophia, Marco

Arthur, Victoria
James, Jennifer
Colin, Charlotte
Emilio, Lucia
Marco, Angela
Alfonso, Sophia

Victoria, Arthur
Jennifer, James
Charlotte, Colin
Lucia, Emilio
Angela, Marco
Sophia, Alfonso

Arthur, Colin
Charles, Colin
Arthur, Charlotte
Charles, Charlotte
Emilio, Alfonso
Tomaso, Alfonso
Emilio, Sophia
Tomaso, Sophia

Jennifer, Colin
Margaret, Colin
Jennifer, Charlotte
Margaret, Charlotte
Angela, Alfonso
Gina, Alfonso
Angela, Sophia
Gina, Sophia

Colin, Arthur
Colin, Jennifer
Alfonso, Emilio
Alfonso, Angela
Colin, Margaret
Colin, Charles
Alfonso, Gina
Alfonso, Tomaso

Charlotte, Arthur
Charlotte, Jennifer
Sophia, Emilio
Sophia, Angela
Charlotte, Margaret
Charlotte, Charles
Sophia, Gina
Sophia, Tomaso

