1, 2
1, 3
4, 5
4, 6
5, 7
5, 8
9, 10
9, 11
12, 13
12, 14
13, 15
13, 16
17, 2
17, 3
18, 5
18, 6
3, 7
3, 8
19, 10
19, 11
20, 13
20, 14
11, 15
11, 16
1, 17
4, 18
2, 21
5, 3
22, 6
9, 19
12, 20
10, 23
13, 11
24, 14
17, 1
18, 4
21, 2
3, 5
6, 22
19, 9
20, 12
23, 10
11, 13
14, 24
2, 1
2, 17
5, 4
5, 18
7, 3
7, 5
10, 9
10, 19
13, 12
13, 20
15, 11
15, 13
3, 1
3, 17
6, 4
6, 18
8, 3
8, 5
11, 9
11, 19
14, 12
14, 20
16, 11
16, 13
2, 3
5, 6
7, 8
10, 11
13, 14
15, 16
3, 2
6, 5
8, 7
11, 10
14, 13
16, 15
2, 7
22, 7
2, 8
22, 8
10, 15
24, 15
10, 16
24, 16
6, 7
21, 7
6, 8
21, 8
14, 15
23, 15
14, 16
23, 16
7, 2
7, 6
15, 10
15, 14
7, 21
7, 22
15, 23
15, 24
8, 2
8, 6
16, 10
16, 14
8, 21
8, 22
16, 23
16, 24
